operation,timestamp_us,latency_us
TOTAL,1715134180399388,5
TOTAL,1715134180403121,1342
TOTAL,1715134180404531,20
TOTAL,1715134180404790,347
TOTAL,1715134180405138,6
TOTAL,1715134180405290,347
TOTAL,1715134180405639,5
TOTAL,1715134180405787,329
TOTAL,1715134180406118,5
TOTAL,1715134180406128,147
TOTAL,1715134180406301,1004150
TOTAL,1715134181410483,25
TOTAL,1715134181410822,576
TOTAL,1715134181411402,13
TOTAL,1715134181411421,257
TOTAL,1715134181411682,1003142
TOTAL,1715134182414836,38
TOTAL,1715134182415206,433
TOTAL,1715134182415643,14
TOTAL,1715134182415679,226
TOTAL,1715134182415908,1003142
TOTAL,1715134183419061,36
TOTAL,1715134183419343,480
UPDATE_ERROR,1715134180399426,3619
UPDATE_ERROR,1715134180404572,215
UPDATE_ERROR,1715134180405149,139
UPDATE_ERROR,1715134180405658,127
UPDATE_ERROR,1715134181410539,273
UPDATE_ERROR,1715134182414926,274
UPDATE_ERROR,1715134183419128,208
ABORT,1715134180403121,1342
ABORT,1715134180404790,347
ABORT,1715134180405290,347
ABORT,1715134180405787,329
ABORT,1715134181410822,576
ABORT,1715134182415206,433
ABORT,1715134183419343,480
READ,1715134180406128,147
READ,1715134181411421,257
READ,1715134182415679,226
COMMIT,1715134180406301,1004150
COMMIT,1715134181411682,1003142
COMMIT,1715134182415908,1003142
START,1715134180399388,5
START,1715134180404531,20
START,1715134180405138,6
START,1715134180405639,5
START,1715134180406118,5
START,1715134181410483,25
START,1715134181411402,13
START,1715134182414836,38
START,1715134182415643,14
START,1715134183419061,36
