operation,timestamp_us,latency_us
START,1715133892766553,7
START,1715133893776389,1
START,1715133893777223,0
START,1715133894781956,3
START,1715133895790103,6
START,1715133895791175,8
START,1715133895792130,1
START,1715133895793215,1
START,1715133895794284,1
START,1715133895795304,15
TOTAL,1715133892766553,7
TOTAL,1715133892766619,6288
TOTAL,1715133892773026,1003285
TOTAL,1715133893776389,1
TOTAL,1715133893776713,495
TOTAL,1715133893777223,0
TOTAL,1715133893777227,200
TOTAL,1715133893777429,1004520
TOTAL,1715133894781956,3
TOTAL,1715133894782016,328
TOTAL,1715133894782348,1007736
TOTAL,1715133895790103,6
TOTAL,1715133895790414,756
TOTAL,1715133895791175,8
TOTAL,1715133895791519,608
TOTAL,1715133895792130,1
TOTAL,1715133895792456,744
TOTAL,1715133895793215,1
TOTAL,1715133895793485,796
TOTAL,1715133895794284,1
TOTAL,1715133895794551,751
TOTAL,1715133895795304,15
TOTAL,1715133895795348,367
TOTAL,1715133895795719,1008101
READ,1715133892766619,6288
READ,1715133893777227,200
READ,1715133894782016,328
READ,1715133895795348,367
COMMIT,1715133892773026,1003285
COMMIT,1715133893777429,1004520
COMMIT,1715133894782348,1007736
COMMIT,1715133895795719,1008101
UPDATE_ERROR,1715133893776414,273
UPDATE_ERROR,1715133895790163,244
UPDATE_ERROR,1715133895791235,280
UPDATE_ERROR,1715133895792146,306
UPDATE_ERROR,1715133895793227,248
UPDATE_ERROR,1715133895794306,242
ABORT,1715133893776713,495
ABORT,1715133895790414,756
ABORT,1715133895791519,608
ABORT,1715133895792456,744
ABORT,1715133895793485,796
ABORT,1715133895794551,751
