operation,timestamp_us,latency_us
READ,1715137784148741,246
READ,1715137785155731,775
READ,1715137786162414,278
READ,1715137787168456,305
READ,1715137788174491,248
READ,1715137789179244,207
READ,1715137790187994,299
READ,1715137791194763,284
READ,1715137792201628,175
READ,1715137793205918,180
READ,1715137794210342,188
READ,1715137795216517,220
READ,1715137796221236,317
READ,1715137797225591,181
READ,1715137798239579,226
READ,1715137799242456,215
READ,1715137800246908,337
READ,1715137801251758,172
READ,1715137802257708,260
READ,1715137803264440,269
READ,1715137804271138,279
READ,1715137805273870,133
READ,1715137806278516,218
READ,1715137807282959,189
READ,1715137808287678,323
READ,1715137809291595,195
READ,1715137810299173,234
READ,1715137811310235,228
READ,1715137812315256,188
READ,1715137813321902,517
READ,1715137814327554,466
READ,1715137815333154,520
READ,1715137816338469,196
READ,1715137817344175,367
READ,1715137818348625,190
READ,1715137819354398,327
READ,1715137820358272,171
READ,1715137821362064,225
READ,1715137822365709,127
READ,1715137823368763,233
READ,1715137824372312,164
READ,1715137825375473,199
READ,1715137826381128,191
READ,1715137827386349,180
READ,1715137828390224,134
READ,1715137829393299,170
READ,1715137830396002,197
READ,1715137831398510,201
READ,1715137832403033,197
READ,1715137833407052,157
READ,1715137834410123,174
READ,1715137835412689,204
READ,1715137836415502,161
READ,1715137837418532,185
READ,1715137838423243,238
READ,1715137839426710,112
READ,1715137840430501,197
READ,1715137841434382,795
READ,1715137842437564,139
READ,1715137843443983,195
READ,1715137844447191,166
READ,1715137845449908,142
READ,1715137846452779,210
READ,1715137847455413,140
READ,1715137848459583,151
READ,1715137849463952,199
READ,1715137850470188,157
READ,1715137851474755,184
READ,1715137852478166,219
READ,1715137853482829,131
READ,1715137854486294,140
READ,1715137855488977,161
READ,1715137856491430,149
READ,1715137857494215,176
READ,1715137858497631,243
READ,1715137859502536,310
READ,1715137860507010,217
READ,1715137861512968,281
READ,1715137862518493,168
READ,1715137863526175,210
READ,1715137864533920,280
READ,1715137865543148,250
READ,1715137866547231,269
READ,1715137867552762,300
READ,1715137868556993,189
READ,1715137869561269,177
READ,1715137870564417,124
READ,1715137871568444,213
READ,1715137872572812,249
READ,1715137873575473,799
READ,1715137874579672,182
READ,1715137875582916,237
READ,1715137876586242,199
READ,1715137877590566,254
READ,1715137878594829,177
READ,1715137879599402,241
READ,1715137880602554,195
READ,1715137881605739,170
READ,1715137882608645,233
READ,1715137883614027,245
READ,1715137884617056,120
READ,1715137885619631,131
READ,1715137886625072,268
READ,1715137887631509,282
READ,1715137888636499,1292
READ,1715137889640099,144
READ,1715137890644181,234
READ,1715137891651809,277
READ,1715137892658215,269
READ,1715137893664580,249
READ,1715137894666891,124
READ,1715137895674269,255
READ,1715137896679817,261
READ,1715137897690486,198
READ,1715137898698592,197
READ,1715137899701265,134
READ,1715137900705921,208
READ,1715137901709584,159
READ,1715137902715630,199
READ,1715137903719600,158
READ,1715137904723520,156
READ,1715137905730989,154
READ,1715137906736247,206
READ,1715137907741276,191
READ,1715137908746315,182
READ,1715137909749150,244
READ,1715137910755516,535
READ,1715137911763734,227
READ,1715137912768523,341
READ,1715137913773056,188
READ,1715137914775717,153
READ,1715137915780001,206
READ,1715137916784644,204
READ,1715137917789237,447
READ,1715137918800961,235
READ,1715137919804303,235
READ,1715137920809096,203
READ,1715137921813318,184
READ,1715137922819654,236
READ,1715137923824813,573
READ,1715137924829804,245
READ,1715137925835398,298
READ,1715137926839181,118
READ,1715137927841453,117
READ,1715137928845496,199
READ,1715137929849728,198
READ,1715137930853800,189
READ,1715137931858791,412
READ,1715137932869125,254
READ,1715137933873794,352
READ,1715137934880031,270
READ,1715137935885482,191
READ,1715137936890980,466
READ,1715137937897029,224
READ,1715137938902238,313
READ,1715137939906812,304
READ,1715137940912222,160
READ,1715137941917248,468
READ,1715137942922082,328
READ,1715137943925870,143
READ,1715137944929205,145
READ,1715137945933991,317
READ,1715137946937889,248
READ,1715137947943142,554
READ,1715137948947621,194
READ,1715137949953871,163
READ,1715137950960611,271
READ,1715137951966841,304
READ,1715137952975499,306
READ,1715137953982756,226
READ,1715137954992423,271
READ,1715137956002388,319
READ,1715137957007160,197
READ,1715137958012790,159
READ,1715137959016715,182
READ,1715137960021042,201
READ,1715137961025210,200
READ,1715137962032181,274
READ,1715137963036656,265
READ,1715137964041307,355
READ,1715137965047181,160
READ,1715137966052656,245
READ,1715137967060348,203
READ,1715137968065033,379
READ,1715137969070810,283
READ,1715137970075240,189
READ,1715137971082487,249
READ,1715137972085938,149
READ,1715137973089646,203
READ,1715137974096627,270
READ,1715137975100996,192
READ,1715137976107160,261
READ,1715137977113468,271
READ,1715137978118336,369
READ,1715137979125826,263
READ,1715137980130437,309
READ,1715137981136483,274
READ,1715137982143397,193
READ,1715137983148384,335
READ,1715137984153465,136
READ,1715137985157875,190
READ,1715137986162312,909
READ,1715137987168342,261
READ,1715137988174261,219
READ,1715137989182235,164
READ,1715137990188739,185
READ,1715137991193167,334
READ,1715137992199709,198
READ,1715137993204409,252
READ,1715137994208317,141
READ,1715137995212610,299
READ,1715137996217530,303
READ,1715137997223213,281
READ,1715137998227155,197
READ,1715137999232944,230
READ,1715138000238899,365
READ,1715138001245080,258
READ,1715138002254339,487
READ,1715138003260536,281
READ,1715138004268145,157
READ,1715138005273002,207
READ,1715138006277997,169
READ,1715138007281886,216
READ,1715138008288374,279
READ,1715138009292110,308
READ,1715138010296498,311
READ,1715138011301783,301
READ,1715138012306148,187
READ,1715138013316646,216
READ,1715138014320296,167
READ,1715138015328215,268
READ,1715138016331392,155
READ,1715138017335245,281
READ,1715138018343718,229
READ,1715138019347397,203
READ,1715138020354444,305
READ,1715138021363997,300
READ,1715138022370477,268
READ,1715138023377635,282
READ,1715138024387328,309
READ,1715138025410536,361
READ,1715138026419205,218
READ,1715138027423568,190
READ,1715138028428208,189
READ,1715138029432783,303
READ,1715138030437014,192
READ,1715138031439436,154
READ,1715138032444034,320
READ,1715138033448446,188
READ,1715138034452644,188
READ,1715138035462299,247
READ,1715138036468892,269
READ,1715138037473320,223
